Rank	Pos	size	score	Enrichment	pvalue	MutNumber	Tumor
1009	chr3:101723744-101726693	2949	1000	50.49374	747.39294	0	DHL
10090	chr8:144337061-144338896	1835	1000	38.35521	266.74719	0	DHL
10091	chr11:18720899-18722437	1538	1000	28.40869	266.66644	1	DHL
10092	chr14:91252662-91254141	1479	1000	34.60065	266.62482	0	DHL
10093	chr22:46066680-46071080	4400	1000	34.60065	266.62482	0	DHL
10094	chr12:49621922-49623720	1798	1000	27.16132	266.53479	0	DHL
10095	chr13:44434859-44437750	2891	1000	27.16132	266.53479	0	DHL
10096	chr22:50326315-50327984	1669	1000	27.16132	266.53479	0	DHL
10097	chr16:29594233-29595913	1680	1000	32.27805	266.49445	0	DHL
10098	chr1:204505709-204508789	3080	1000	27.07689	266.16931	0	DHL
10099	chr11:62708380-62710477	2097	1000	24.69443	266.15668	0	DHL
101	chr3:185929441-185938530	9089	1000	54.66810	878.56366	2	DHL
1010	chr3:16506233-16517133	10900	1000	61.46673	747.16736	3	DHL
10100	chr7:2978229-2981203	2974	1000	25.91004	265.98846	0	DHL
10101	chr7:93889692-93891801	2109	1000	25.91004	265.98846	0	DHL
10102	chr2:238234350-238234888	538	1000	33.39451	265.96335	0	DHL
10103	chr11:124672927-124674902	1975	1000	43.29394	265.92850	0	DHL
10104	chr16:2531375-2533275	1900	1000	21.13021	265.83609	0	DHL
10105	chr4:145732670-145734037	1367	1000	32.38518	265.78427	0	DHL
10106	chr2:219159744-219161444	1700	1000	23.64106	265.71576	0	DHL
10107	chr16:2903900-2905665	1765	1000	25.79186	265.44644	0	DHL
10108	chr4:148439519-148444199	4680	1000	25.79186	265.44644	0	DHL
10109	chr17:29138134-29141823	3689	1000	26.42219	265.30679	0	DHL
1011	chr19:41395059-41399226	4167	1000	59.82585	747.00610	0	DHL
10110	chr7:94059636-94064639	5003	1000	19.31806	265.10815	0	DHL
10111	chr19:38223255-38224931	1676	1000	28.51478	265.03302	0	DHL
10112	chr16:56607897-56609981	2084	1000	32.13771	264.91983	0	DHL
10113	chr19:57487249-57488220	971	1000	44.74117	264.69135	0	DHL
10114	chr2:202032639-202033718	1079	1000	36.11438	264.66241	0	DHL
10115	chr3:170355602-170356855	1253	1000	27.64575	264.53049	0	DHL
10116	chrX:18673932-18675916	1984	1000	44.08912	264.30371	0	DHL
10117	chr19:13833071-13834416	1345	1000	37.12477	264.30069	0	DHL
10118	chr15:64163271-64164529	1258	1000	21.79697	264.21240	0	DHL
10119	chr1:158179866-158181824	1958	1000	35.56216	264.08585	0	DHL
1012	chr15:75624342-75626948	2606	1000	70.85141	746.99939	0	DHL
10120	chr20:33442120-33445010	2890	1000	33.70718	263.70679	0	DHL
10121	chr14:102509834-102510999	1165	1000	45.32355	263.66870	0	DHL
10122	chr15:88637513-88640832	3319	1000	28.17583	263.65369	0	DHL
10123	chr1:206052781-206056399	3618	1000	26.94316	263.56818	0	DHL
10124	chr3:122020614-122022919	2305	1000	26.94316	263.56818	0	DHL
10125	chr11:74748178-74749206	1028	1000	32.66199	263.47946	0	DHL
10126	chr3:118808495-118811151	2656	1000	32.66199	263.47946	0	DHL
10127	chr8:140635825-140636792	967	1000	27.62754	263.43362	0	DHL
10128	chr1:210328234-210329892	1658	1000	31.99737	263.34708	0	DHL
10129	chr19:55484314-55486026	1712	1000	28.84605	263.25391	0	DHL
1013	chr17:17235249-17238839	3590	1000	70.85141	746.99939	0	DHL
10130	chr7:27149915-27152905	2990	1000	24.68718	263.19839	0	DHL
10131	chr12:47810066-47815377	5311	1000	20.97927	263.11957	0	DHL
10132	chr11:10292915-10295288	2373	1000	40.32476	262.93259	0	DHL
10133	chr6:28280947-28282803	1856	1000	23.46264	262.88879	0	DHL
10134	chr12:6198521-6204226	5705	1000	39.43011	262.82867	0	DHL
10135	chr16:50741103-50741804	701	1000	26.53027	262.77603	0	DHL
10136	chr21:32569174-32570226	1052	1000	30.34546	262.72760	0	DHL
10137	chr15:31870856-31871473	617	1000	25.58877	262.53204	0	DHL
10138	chr9:33043481-33045136	1655	1000	25.58877	262.53204	0	DHL
10139	chr12:110613434-110615437	2003	1000	42.86316	262.44705	0	DHL
1014	chr12:116736033-116739799	3766	1000	70.45034	746.99377	0	DHL
10140	chrX:40170592-40178217	7625	1000	42.38571	262.42850	0	DHL
10141	chr1:45205445-45207480	2035	1000	29.97614	262.39877	0	DHL
10142	chr9:136544411-136545887	1476	1000	29.97614	262.39877	0	DHL
10143	chr1:21292342-21294533	2191	1000	23.68985	262.13666	0	DHL
10144	chr8:33565306-33567658	2352	1000	37.15953	262.12372	0	DHL
10145	chr19:18109377-18110999	1622	1000	33.55603	262.10785	0	DHL
10146	chr15:85582343-85585789	3446	1000	26.83407	262.08752	0	DHL
10147	chr16:69725290-69727791	2501	1000	26.83407	262.08752	0	DHL
10148	chr9:137457854-137459218	1364	1000	26.83407	262.08752	0	DHL
10149	chr19:6800403-6802261	1858	1000	29.88495	262.05402	0	DHL
1015	chr16:84614744-84618080	3336	1000	70.45034	746.99377	0	DHL
10150	chr11:848547-850843	2296	1000	28.27912	262.01566	0	DHL
10151	chr16:15092757-15095158	2401	1000	28.27912	262.01566	0	DHL
10152	chr19:58401402-58402565	1163	1000	28.27912	262.01566	0	DHL
10153	chr9:127244607-127245959	1352	1000	28.27912	262.01566	0	DHL
10154	chr14:64338791-64339653	862	1000	25.90306	261.98038	0	DHL
10155	chr19:50342483-50345417	2934	1000	35.96321	261.94534	0	DHL
10156	chr7:100270138-100272821	2683	1000	32.51747	261.89758	0	DHL
10157	chrX:9462551-9465221	2670	1000	45.09113	261.89746	0	DHL
10158	chr17:45317275-45318298	1023	1000	24.40949	261.85370	0	DHL
10159	chr19:55216516-55217573	1057	1000	31.56620	261.82822	0	DHL
1016	chr3:180988471-180990703	2232	1000	46.50918	746.81433	0	DHL
10160	chr11:17387942-17390526	2584	1000	34.13517	261.79361	0	DHL
10161	chr1:180228976-180232098	3122	1000	37.81499	261.74304	0	DHL
10162	chr8:81630391-81631388	997	1000	19.57240	261.52509	0	DHL
10163	chr1:145885355-145886578	1223	1000	23.37343	261.47775	0	DHL
10164	chr19:40604341-40606898	2557	1000	29.44195	261.41321	0	DHL
10165	chr15:31391722-31393822	2100	1000	22.45597	261.36008	0	DHL
10166	chr6:36753200-36758116	4916	1000	22.79670	261.30780	0	DHL
10167	chrX:103917891-103921744	3853	1000	44.28694	261.16830	0	DHL
10168	chr5:139402908-139404744	1836	1000	22.58780	261.13345	0	DHL
10169	chr7:76379616-76380687	1071	1000	19.78198	261.11172	0	DHL
1017	chr2:135741534-135744714	3180	1000	65.84504	746.79919	0	DHL
10170	chr14:89417189-89418748	1559	1000	25.48723	261.07742	0	DHL
10171	chr6:3052967-3054276	1309	1000	25.48723	261.07742	0	DHL
10172	chr12:120264838-120265782	944	1000	36.77781	260.99783	0	DHL
10173	chr15:90902869-90904253	1384	1000	36.77781	260.99783	0	DHL
10174	chr2:237672613-237675414	2801	1000	28.27626	260.97430	0	DHL
10175	chr12:14364722-14368011	3289	1000	20.16969	260.89301	0	DHL
10176	chr16:3019886-3022292	2406	1000	29.84804	260.86243	0	DHL
10177	chr6:4776492-4778079	1587	1000	29.84804	260.86243	0	DHL
10178	chr1:25615753-25616676	923	1000	39.12650	260.82864	0	DHL
10179	chr2:159613713-159616684	2971	1000	29.01550	260.80359	0	DHL
1018	chr8:41577287-41581207	3920	1000	65.84504	746.79919	0	DHL
10180	chr6:31270888-31272782	1894	1000	43.64378	260.79837	0	DHL
10181	chr12:63843279-63845126	1847	1000	41.71481	260.70651	0	DHL
10182	chr17:44556063-44558080	2017	1000	24.76000	260.62234	0	DHL
10183	chr8:106725702-106728416	2714	1000	26.72499	260.60861	0	DHL
10184	chr11:57323188-57326336	3148	1000	33.40487	260.51086	0	DHL
10185	chr5:138752596-138754511	1915	1000	36.98425	260.46991	0	DHL
10186	chr6:26520876-26524120	3244	1000	32.37294	260.31763	0	DHL
10187	chr14:20663120-20667069	3949	1000	33.98001	260.18713	0	DHL
10188	chr17:31937905-31939442	1537	1000	33.98001	260.18713	0	DHL
10189	chr12:103839931-103841872	1941	1000	44.85870	260.12845	0	DHL
1019	chr12:123231048-123235503	4455	1000	52.80809	746.35382	0	DHL
10190	chr17:27344769-27346824	2055	1000	23.28422	260.06839	0	DHL
10191	chr3:40505315-40507023	1708	1000	23.28422	260.06839	0	DHL
10192	chr12:94261957-94263545	1588	1000	22.37187	259.97052	0	DHL
10193	chr11:5684030-5685434	1404	1000	18.89749	259.67249	0	DHL
10194	chr1:36386059-36388031	1972	1000	22.30038	259.58337	0	DHL
10195	chr16:15948682-15949569	887	1000	20.09791	259.55588	0	DHL
10196	chr7:3300176-3301053	877	1000	36.60433	259.34943	0	DHL
10197	chr19:5686133-5687642	1509	1000	29.71994	259.32791	0	DHL
10198	chr8:130358731-130359557	826	1000	29.71994	259.32791	0	DHL
10199	chr10:24723767-24725415	1648	1000	34.37763	259.24838	0	DHL
102	chr7:99464639-99466716	2077	1000	51.64067	878.06885	0	DHL
1020	chr14:51239222-51243629	4407	1000	59.04300	746.31427	0	DHL
10200	chr19:48714279-48715800	1521	1000	27.82655	259.14801	0	DHL
10201	chr1:111737889-111740662	2773	1000	26.61591	259.13147	0	DHL
10202	chr8:30155141-30158359	3218	1000	28.04346	259.00555	0	DHL
10203	chr17:46770437-46771688	1251	1000	33.25372	258.91583	0	DHL
10204	chr9:95047973-95049232	1259	1000	33.25372	258.91583	0	DHL
10205	chr18:13566140-13567722	1582	1000	16.92985	258.85013	0	DHL
10206	chr18:12420749-12421843	1094	1000	26.53318	258.77359	0	DHL
10207	chr6:107657048-107660095	3047	1000	25.40000	258.70438	0	DHL
10208	chr22:38793165-38794812	1647	1000	31.28930	258.70215	0	DHL
10209	chr2:230202987-230206182	3195	1000	34.89996	258.66898	0	DHL
1021	chr5:74765810-74768523	2713	1000	61.86057	746.07715	0	DHL
10210	chr5:79235438-79238583	3145	1000	31.57635	258.64029	0	DHL
10211	chr14:102316224-102320975	4751	1000	33.82485	258.58264	1	DHL
10212	chr15:45187172-45188813	1641	1000	33.82485	258.58264	0	DHL
10213	chr1:144882786-144883778	992	1000	44.62627	258.36169	0	DHL
10214	chr17:30732507-30733882	1375	1000	44.62627	258.36169	0	DHL
10215	chr19:44024756-44026377	1621	1000	44.62627	258.36169	0	DHL
10216	chr2:199850306-199851750	1444	1000	44.62627	258.36169	0	DHL
10217	chr3:126476177-126476985	808	1000	41.69363	258.28329	0	DHL
10218	chr17:29175952-29177605	1653	1000	25.28414	258.17340	0	DHL
10219	chr19:48248135-48250270	2135	1000	31.67808	257.92026	0	DHL
1022	chr6:85640232-85644733	4501	1000	61.86057	746.07715	0	DHL
10220	chr1:825538-827950	2412	1000	39.73465	257.83676	0	DHL
10221	chr16:8964060-8964713	653	1000	37.25123	257.83014	0	DHL
10222	chr1:25616827-25617486	659	1000	29.59184	257.79526	0	DHL
10223	chr4:176194932-176196206	1274	1000	29.59184	257.79526	0	DHL
10224	chr11:45147084-45148185	1101	1000	20.67741	257.70520	0	DHL
10225	chr4:2535155-2536213	1058	1000	36.43085	257.70312	0	DHL
10226	chr6:132400475-132402192	1717	1000	26.50683	257.65610	0	DHL
10227	chr10:99620748-99622137	1389	1000	34.21921	257.63715	0	DHL
10228	chrX:85376643-85380205	3562	1000	36.02583	257.62616	0	DHL
10229	chr12:53344852-53345674	822	1000	24.12456	257.56589	0	DHL
1023	chr11:88335201-88339296	4095	1000	84.63356	746.06036	0	DHL
10231	chr18:58862219-58863408	1189	1000	29.50181	257.45505	0	DHL
10232	chr17:49569481-49570470	989	1000	33.10257	257.32275	0	DHL
10233	chr12:116881246-116882875	1629	1000	35.18206	257.30984	0	DHL
10234	chr1:158149170-158150852	1682	1000	23.10579	257.25464	0	DHL
10235	chr12:121296819-121298026	1207	1000	22.20366	257.19629	0	DHL
10236	chr2:207768084-207771292	3208	1000	31.15086	257.14197	0	DHL
10237	chr8:23243003-23247949	4946	1000	31.43601	257.07520	0	DHL
10238	chr2:174681841-174683771	1930	1000	34.73763	257.04916	0	DHL
10239	chr10:17229332-17231292	1960	1000	25.18260	256.72397	0	DHL
1024	chr1:36223174-36227169	3995	1000	46.37823	746.05396	0	DHL
10240	chr12:96193719-96194832	1113	1000	41.35089	256.22137	0	DHL
10241	chr19:3989514-3990745	1231	1000	26.39775	256.18253	0	DHL
10242	chr18:25513490-25518773	5283	1000	30.58240	256.17572	0	DHL
10243	chr12:13100597-13102256	1659	1000	27.59369	256.15329	0	DHL
10244	chr19:40420557-40421746	1189	1000	24.02958	256.14005	0	DHL
10245	chr11:75524864-75526771	1907	1000	38.66817	256.09073	0	DHL
10246	chr11:86955580-86956812	1232	1000	36.25737	256.05884	0	DHL
10247	chr19:33063844-33065363	1519	1000	36.25737	256.05884	0	DHL
10248	chr5:50963046-50963936	890	1000	36.25737	256.05884	0	DHL
10249	chr13:42990644-42993002	2358	1000	34.06078	256.02792	0	DHL
1025	chr5:159092130-159106986	14856	1000	64.52689	745.83423	0	DHL
10250	chr19:1592903-1593676	773	1000	27.80780	256.00269	0	DHL
10251	chrX:47481689-47484905	3216	1000	27.80780	256.00269	0	DHL
10252	chr12:53750558-53758883	8325	1000	29.10686	255.95244	0	DHL
10253	chr16:29806618-29807040	422	1000	32.36277	255.94499	0	DHL
10254	chr17:78167918-78170127	2209	1000	23.01658	255.85027	0	DHL
10255	chr7:142795453-142799434	3981	1000	23.01658	255.85027	0	DHL
10256	chr19:45769558-45771475	1917	1000	22.11955	255.81165	0	DHL
10257	chr15:92809313-92812528	3215	1000	19.88258	255.55383	0	DHL
10258	chr8:143568328-143569169	841	1000	19.88258	255.55383	0	DHL
10259	chr14:70821402-70823123	1721	1000	31.29567	255.51205	0	DHL
1026	chr9:2841848-2845771	3923	1000	53.21672	745.78021	0	DHL
10260	chr16:70064661-70066987	2326	1000	31.29567	255.51205	0	DHL
10261	chr7:24756219-24758123	1904	1000	31.29567	255.51205	0	DHL
10262	chr1:93447505-93449331	1826	1000	34.57531	255.43140	0	DHL
10263	chr17:27332316-27334289	1973	1000	23.23602	255.07362	1	DHL
10264	chr9:36487865-36488708	843	1000	32.36016	254.85194	0	DHL
10265	chr21:45073617-45074521	904	1000	44.16141	254.83493	0	DHL
10266	chr11:118869444-118871498	2054	1000	31.39524	254.78815	0	DHL
10267	chr14:69190961-69192839	1878	1000	28.52371	254.73602	0	DHL
10268	chr8:141307178-141308415	1237	1000	28.52371	254.73602	0	DHL
10269	chr4:75629970-75631228	1258	1000	29.33563	254.73563	0	DHL
1027	chr13:41310230-41314367	4137	1000	63.80950	745.75507	0	DHL
10270	chr4:102430349-102431616	1267	1000	23.93460	254.71588	0	DHL
10271	chr11:1261908-1263223	1315	1000	26.28867	254.71072	0	DHL
10272	chr19:35642815-35645452	2637	1000	27.47726	254.65865	0	DHL
10273	chr7:2036451-2041659	5208	1000	21.24012	254.62468	0	DHL
10274	chr3:181358678-181364146	5468	1000	22.57531	254.50333	0	DHL
10275	chrX:150897337-150899807	2470	1000	39.34124	254.45023	0	DHL
10276	chr14:64879351-64881184	1833	1000	36.08389	254.41666	0	DHL
10277	chr19:14088913-14090007	1094	1000	36.08389	254.41666	0	DHL
10278	chr19:34772241-34773625	1384	1000	29.24638	254.39845	0	DHL
10279	chr21:43805756-43810949	5193	1000	29.24638	254.39845	0	DHL
1028	chr1:66923351-66927437	4086	1000	62.10633	745.72504	0	DHL
10280	chr22:38396642-38399885	3243	1000	43.37849	254.14896	0	DHL
10281	chr4:168831577-168833123	1546	1000	40.03042	253.95782	0	DHL
10282	chr1:1347374-1349172	1798	1000	31.15533	253.95084	0	DHL
10283	chr3:55485298-55489363	4065	1000	31.15533	253.95084	0	DHL
10284	chr9:112174151-112176183	2032	1000	31.15533	253.95084	0	DHL
10285	chr9:98795027-98796493	1466	1000	31.15533	253.95084	0	DHL
10286	chr10:46284127-46285406	1279	1000	27.73451	253.66237	0	DHL
10287	chr11:7672628-7674886	2258	1000	30.37414	253.30510	0	DHL
10288	chr12:12695641-12698299	2658	1000	23.83962	253.29344	0	DHL
10289	chr17:18697446-18698679	1233	1000	32.21240	253.27245	0	DHL
1029	chr15:55194576-55198026	3450	1000	58.28599	745.67542	0	DHL
10290	chr9:37911051-37912316	1265	1000	32.21240	253.27245	0	DHL
10291	chr1:231422368-231423329	961	1000	26.17958	253.24072	0	DHL
10292	chr5:134465464-134466821	1357	1000	29.20753	253.20863	0	DHL
10293	chr8:23162564-23164306	1742	1000	43.92898	253.07497	0	DHL
10294	chr8:41827699-41829398	1699	1000	21.95135	253.04730	0	DHL
10295	chr14:73567993-73571036	3043	1000	22.83816	253.04655	0	DHL
10296	chr2:218908360-218910216	1856	1000	22.83816	253.04655	0	DHL
10297	chr7:157137942-157138803	861	1000	22.83816	253.04655	0	DHL
10298	chr7:3404393-3412270	7877	1000	22.83816	253.04655	0	DHL
10299	chr3:49170911-49172036	1125	1000	29.11867	252.87299	0	DHL
103	chr8:143826714-143830290	3576	1000	50.41063	877.06342	0	DHL
1030	chr7:156948665-156952353	3688	1000	50.40453	745.64917	0	DHL
10300	chr4:2842805-2845048	2243	1000	39.14453	252.76021	0	DHL
10301	chr17:2053372-2056001	2629	1000	29.89449	252.61919	0	DHL
10302	chr21:41860976-41865720	4744	1000	24.43922	252.29752	0	DHL
10303	chr20:10672280-10675200	2920	1000	28.69024	252.27818	0	DHL
10304	chr1:161539222-161541069	1847	1000	39.82824	252.25731	0	DHL
10305	chr19:1400549-1402105	1556	1000	43.03497	252.11659	0	DHL
10306	chr11:111230034-111231212	1178	1000	18.53650	252.07149	0	DHL
10307	chr1:26619502-26622058	2556	1000	21.08101	251.89986	1	DHL
10308	chr14:94174275-94175790	1515	1000	37.95798	251.82388	0	DHL
10309	chr10:110440731-110442500	1769	1000	26.07050	251.77254	0	DHL
1031	chr11:64776222-64777841	1619	1000	75.47227	745.58783	0	DHL
10310	chr1:1349511-1350130	619	1000	29.07942	251.68355	0	DHL
10311	chr11:10454978-10459896	4918	1000	21.86724	251.66760	0	DHL
10312	chr19:16897160-16898156	996	1000	21.86724	251.66760	0	DHL
10313	chr7:98280630-98281556	926	1000	27.45431	251.51221	0	DHL
10314	chr1:148150900-148152679	1779	1000	43.69656	251.31729	0	DHL
10315	chr10:97318446-97320931	2485	1000	43.69656	251.31729	0	DHL
10316	chr17:40190625-40192073	1448	1000	33.58552	251.21237	0	DHL
10317	chr1:32350779-32352451	1672	1000	27.88049	251.17729	0	DHL
10318	chr6:129709360-129710569	1209	1000	35.73693	251.13853	0	DHL
1032	chr14:49596862-49601127	4265	1000	69.63947	745.50677	0	DHL
10320	chr9:98796548-98797318	770	1000	24.77643	250.94386	0	DHL
10321	chrX:81119487-81122614	3127	1000	31.50581	250.87878	0	DHL
10322	chr12:9446577-9449840	3263	1000	30.87465	250.83427	1	DHL
10323	chr1:154940244-154943965	3721	1000	27.49746	250.66849	0	DHL
10324	chr13:74287101-74291333	4232	1000	18.43977	250.56332	0	DHL
10325	chr9:114927134-114932502	5368	1000	21.00146	250.53989	0	DHL
10326	chr11:44065570-44067245	1675	1000	23.64967	250.45377	0	DHL
10327	chr2:88865747-88868168	2421	1000	40.46337	250.40787	1	DHL
10328	chr1:160795578-160801088	5510	1000	25.96142	250.30617	0	DHL
10329	chr6:47308442-47310134	1692	1000	25.96142	250.30617	0	DHL
1033	chr21:39345257-39349172	3915	1000	69.63947	745.50677	0	DHL
10330	chr2:8551161-8553049	1888	1000	21.78314	250.28960	0	DHL
10331	chr16:679184-679891	707	1000	32.95161	250.27518	0	DHL
10332	chr19:17997126-17998987	1861	1000	22.65973	250.24963	0	DHL
10333	chr4:89305022-89308511	3489	1000	39.91381	250.14964	0	DHL
10334	chr3:129026354-129027893	1539	1000	24.78795	250.02097	0	DHL
10335	chr1:184386100-184388286	2186	1000	37.21138	249.73689	0	DHL
10336	chr2:16661974-16665752	3778	1000	37.21138	249.73689	0	DHL
10337	chr10:86710560-86712683	2123	1000	26.77131	249.72809	0	DHL
10338	chr17:44774912-44776591	1679	1000	18.95648	249.67773	0	DHL
