Protein	Gene	Description	WT_1	WT_2	WT_3	OPP_WT_1	OPP_WT_2	OPP_WT_3	OE_1	OE_2	OE_3	OPP_OE_1	OPP_OE_2	OPP_OE_3	Repair_1	Repair_2	Repair_3	OPP_Repair_1	OPP_Repair_2	OPP_Repair_3
P22314	UBA1	Ubiquitin-like_modifier-activating_enzyme_1_OS=Homo_sapiens_OX=9606	5140526589	5086432348	5028529215	4785886920	4869386068	4836797176	4896873633	4661947773	4868080051	5165880434	4899593833	4889790592	5795264107	6001653910	5962766656	5179687880	5087495015	5081614341
P42704	LRPPRC	"Leucine-rich_PPR_motif-containing_protein,_mitochondrial_OS=Homo_sapiens_OX=9606"	3719937889	3829780302	3754570754	4113430287	4008619707	3996550015	3504765383	3345266774	3430490085	3401071526	3352252893	3343469940	4276151984	4375877461	4199856375	3868625696	3979805348	4013402084
Q01082	SPTBN1	"Spectrin_beta_chain,_non-erythrocytic_1_OS=Homo_sapiens_OX=9606"	1166288453	1141795175	1169415615	673753149	683836791	727726923	2133476837	2124480896	2108822347	855832684	795309014	812588925	1662478072	1772064102	1844642087	1049313642	999329486	1008849236
Q13813	SPTAN1	"Spectrin_alpha_chain,_non-erythrocytic_1_OS=Homo_sapiens_OX=9606"	571550200	624494114	642652062	636069976	570300807	581900491	832872820	795997609	851015684	805070758	744721075	747885403	863671640	813568528	886714316	894626700	941333899	935605078
O43707	ACTN4	Alpha-actinin-4_OS=Homo_sapiens_OX=9606	2696856113	2884838827	2816016753	3719077353	3688113627	3648049818	3657278140	3646576669	3607744310	4858050551	4803663903	4955217645	3760989505	3690087144	3624871379	5345881415	5143110446	5234416936
P21333	FLNA	Filamin-A_OS=Homo_sapiens_OX=9606	625609709	697920467	641545069	685458319	633075909	658958200	700152490	760737509	694930627	807054470	732927522	784234750	668510064	664786316	664487841	721856029	719258743	722100693
Q08211	DHX9	ATP-dependent_RNA_helicase_A_OS=Homo_sapiens_OX=9606	4116424157	4198978352	4105975290	3975385863	3974213417	3905208340	3581357093	3659492370	3631463573	3656205688	3569444407	3590863838	3397592125	3347336338	3372390070	2852168773	3003366317	3004385346
O75533	SF3B1	Splicing_factor_3B_subunit_1_OS=Homo_sapiens_OX=9606	2228005285	2303681143	2402541069	2424333181	2246630553	2290353882	2683054622	2621878028	2649884574	2943978211	2733092445	2790346277	2998376184	2859871221	3009332625	2719025898	2779182660	2803801544
P46013	MKI67	Proliferation_marker_protein_Ki-67_OS=Homo_sapiens_OX=9606	1986302743	1428978441	1334451013	1341104312	1322164842	1334235225	1480851688	1604808877	1443080638	1406836058	1225860456	1282530139	1259097468	1286171657	1284983089	1237197526	1126382232	1116764778
P55072	VCP	Transitional_endoplasmic_reticulum_ATPase_OS=Homo_sapiens_OX=9606	4139415742	4429630192	4237695055	3899496890	4061603494	3987842612	4357277049	4234597260	4381903405	4345328590	4402992338	4353445901	3806592667	3729402174	3559176607	5120356205	5027103299	4926042259
P18206	VCL	Vinculin_OS=Homo_sapiens_OX=9606	2247022566	2305769302	2331404875	1761574787	1752650679	1754673016	3278068993	3334538072	3323189556	2691853771	2578338434	2691880288	2264767335	2140578772	2211894883	3011605135	3051789752	3012898387
P60709	ACTB	"Actin,_cytoplasmic_1_OS=Homo_sapiens_OX=9606"	85438306834	79031224806	75891540227	62823905764	62315117589	58945034684	86545346377	85731798598	84467513202	62064885244	68293039505	63821243941	82578004072	87743392183	83813756547	66680434488	68774331407	69655856170
P07900	HSP90AA1	Heat_shock_protein_HSP_90-alpha_OS=Homo_sapiens_OX=9606	17546193494	17089640302	17480216818	14699991088	14253169441	14607053005	17233548935	16996334145	16816662063	14839904610	13585308190	14156870621	15597464980	15764601035	15555584604	13208650970	12981544690	12866036231
P13639	EEF2	Elongation_factor_2_OS=Homo_sapiens_OX=9606	13409880083	13043996621	13293753232	12213145413	12992759290	12774390029	12634290752	12392212301	12551158958	13063161107	13881966319	13163091282	13789947029	12535905159	12755907070	11836643213	12808430540	12710829816
P12270	TPR	Nucleoprotein_TPR_OS=Homo_sapiens_OX=9606	1215003666	1190030802	1831026959	1138064893	1196317284	1167084914	1727713990	1733718681	1720900219	1536630542	1485572449	1532196340	1714518492	1636279324	1616589511	1467686872	1413859440	1409552661
Q63HN8	RNF213	E3_ubiquitin-protein_ligase_RNF213_OS=Homo_sapiens_OX=9606	290931459	211303649	256462238	277634779	314107230	346266327	189521918	276344493	261239760	376987722	307633438	352148873	264373360	292630979	245919334	349048719	364826006	339981250
P08238	HSP90AB1	Heat_shock_protein_HSP_90-beta_OS=Homo_sapiens_OX=9606	40919060199	41841773730	40666846712	34301895784	33928380480	34399412969	40460023235	41136446625	40871126509	36737317191	34898775580	36124410842	37606518103	38313541075	38046042860	32715049774	32185415069	32019481019
P09874	PARP1	Poly_[ADP-ribose]_polymerase_1_OS=Homo_sapiens_OX=9606	7643483042	7287071049	7635705082	7587140198	7689810141	7613093613	6758756979	6782666919	6977180151	7577844517	6888472306	7211931745	7130025877	6894081110	6905351753	6437045145	6501805564	6594156255
P10809	HSPD1	"60_kDa_heat_shock_protein,_mitochondrial_OS=Homo_sapiens_OX=9606"	28129441161	28998820923	28225664288	19282972623	19739888724	18918544503	32317646004	32431265488	32825844873	20927028001	22252675539	22029814105	39346058583	39738244937	39279461378	27504032887	27448065774	27691868844
P13796	LCP1	Plastin-2_OS=Homo_sapiens_OX=9606	18720589869	19592685044	19056335230	17765552977	17190856972	17293089824	24890026643	24463091937	24687670452	21760840199	22115578081	21252393093	19435055725	18883686237	19958877350	24287012732	24749240523	24668521818
P49588	AARS1	"Alanine--tRNA_ligase,_cytoplasmic_OS=Homo_sapiens_OX=9606"	3274165380	3217033908	3527077424	2857126826	3068852660	2743399542	2528471181	2563235455	2556581724	2464776453	2767417243	2698683518	3119745082	2891499979	2913202160	2887604719	2798629966	2814567544
Q14839	CHD4	Chromodomain-helicase-DNA-binding_protein_4_OS=Homo_sapiens_OX=9606	2030626407	2253538343	2179354869	2056903503	1972484067	2026501945	2248015403	2019753504	2082236804	1956349933	1919109219	1796005244	2200499766	1977174257	2007820705	1631857678	1630903274	1578674211
P08575	PTPRC	Receptor-type_tyrosine-protein_phosphatase_C_OS=Homo_sapiens_OX=9606	4605541110	5037951975	5101511296	4693657301	4546468666	4648021775	4618940245	4541753294	4597906242	4382412316	4250968924	4189856136	7375076710	7135963369	7455289633	6115637748	6230238627	6414343788
Q14980	NUMA1	Nuclear_mitotic_apparatus_protein_1_OS=Homo_sapiens_OX=9606	540708712	536399294	563810772	671351222	686627355	664833372	783224686	747169308	725084470	889810576	852028313	938405853	789385198	753906129	729425719	895192632	803716839	830547370
Q709C8	VPS13C	Vacuolar_protein_sorting-associated_protein_13C_OS=Homo_sapiens_OX=9606	619768657	697923021	645319229	642489105	659944834	665088972	638097313	669560927	645714668	716683724	682679164	719573016	788497224	789120153	805587717	758313709	749460678	792384033
P06576	ATP5F1B	"ATP_synthase_subunit_beta,_mitochondrial_OS=Homo_sapiens_OX=9606"	9009912900	9676822620	9330293819	7771127787	7704849936	7932407287	9416703542	9686085451	9656775580	8163551224	7741944655	7946532058	12349133262	12750054808	12654806949	9629532831	9379903742	9765847620
Q92598	HSPH1	Heat_shock_protein_105_kDa_OS=Homo_sapiens_OX=9606	3334475884	3618292876	3608155618	3730019179	3561632592	3596825886	3480443374	3456407587	3646269292	3724059408	3514525601	3547692499	3182761755	3203290287	3177286522	2853410829	2906059763	2933957391
P53396	ACLY	ATP-citrate_synthase_OS=Homo_sapiens_OX=9606	3121249963	3135544075	3190514953	3448638843	3432620915	3440428234	2862658091	2843207374	2882296707	2993011124	3062735574	3027813261	3783308038	3649597466	3686364346	3372987511	3551143886	3487196854
P16885	PLCG2	"1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_gamma-2_OS=Homo_sapiens_OX=9606"	2061702292	2250650209	2165656223	2236554408	2213435348	2215205770	1718881997	1761210253	1746752036	1941353169	1792060466	1799393700	2385820702	2237035987	2373814042	2248961570	2291663773	2287773990
Q15393	SF3B3	Splicing_factor_3B_subunit_3_OS=Homo_sapiens_OX=9606	2233416358	2295848221	2270491123	2145902581	2115728545	2135764829	2270056661	2284984649	2311330858	2297867341	2253080695	2213358001	2623586548	2645814851	2617820689	2330614047	2350487359	2377148618
Q15029	EFTUD2	116_kDa_U5_small_nuclear_ribonucleoprotein_component_OS=Homo_sapiens_OX=9606	1855828081	1915759915	1923640320	1966413063	1926038336	1767518477	1870104942	1815248701	1795184370	1812199647	1869118944	1915779640	1942225653	1802955527	1837516738	1839643231	1844905929	1814375889
Q14008	CKAP5	Cytoskeleton-associated_protein_5_OS=Homo_sapiens_OX=9606	1646509560	1633152276	1718914539	1914328345	1891151227	1950929864	2009875515	1965454073	1983426999	2198973473	2073126152	2237379177	1857613348	1888892835	1893428415	2111372523	2046937829	2019185767
P14618	PKM	Pyruvate_kinase_PKM_OS=Homo_sapiens_OX=9606	19535993384	18624536826	18811137690	16422274891	16825817075	16402618479	20965699089	20924141576	20801966900	18893358056	18624394222	18770503528	18769134225	19991861823	19911151482	19255509397	18255522705	18063723387
O15067	PFAS	Phosphoribosylformylglycinamidine_synthase_OS=Homo_sapiens_OX=9606	1184939272	1097195288	1199554239	1094293207	1138510826	1090873108	952724001	1000493273	1015914764	1071957416	1096766997	1171848326	1041880420	929027371	1018225146	926963547	905823359	900159067
P34932	HSPA4	Heat_shock_70_kDa_protein_4_OS=Homo_sapiens_OX=9606	3187027526	3438320131	3587481011	3577760627	3455337270	3459643242	3409428256	3264654143	3428399653	3454337665	3214172300	3424523914	3471976218	3554106886	3577142909	3373784844	3284403287	3366191896
P22102	GART	Trifunctional_purine_biosynthetic_protein_adenosine-3_OS=Homo_sapiens_OX=9606	2469394881	2649531600	2692452302	2852379074	2648501197	2753605291	2155020974	2173158516	2193056133	2424061894	2363070412	2316739361	2213643784	2254936318	2341156481	2032397545	2015456881	2050910216
P49368	CCT3	T-complex_protein_1_subunit_gamma_OS=Homo_sapiens_OX=9606	5297157506	5416004811	5536964373	5371144584	5346771281	5243680339	5949624930	6044371350	6046190427	5743624812	5567002654	5548058371	5154291411	5050446210	5333049739	5395656393	5436599103	5362435348
P41252	IARS1	"Isoleucine--tRNA_ligase,_cytoplasmic_OS=Homo_sapiens_OX=9606"	2956292885	2962155307	2991477559	2891479956	2791681577	2846504384	2539989165	2721755817	2717348832	2731936586	2627654987	2646136415	2816934737	2942411963	2846508268	2337434486	2373837378	2289502324
P52272	HNRNPM	Heterogeneous_nuclear_ribonucleoprotein_M_OS=Homo_sapiens_OX=9606	5586091522	5216361631	5727463979	4925897045	5308840070	4968336008	4362249230	4414905529	4254241659	4434577510	4688874106	4739459317	3893260778	3556062087	3626024401	3985534264	3879630778	3923921759
Q86VP6	CAND1	Cullin-associated_NEDD8-dissociated_protein_1_OS=Homo_sapiens_OX=9606	2362153095	2421438512	2350576850	2533363482	2427692463	2362951849	2869898054	2910336584	2935513301	3134378549	2982896466	3063872571	3470043007	3360692867	3542534947	3148113995	3066384046	3080402310
O14980	XPO1	Exportin-1_OS=Homo_sapiens_OX=9606	1330576391	1351610463	1371385946	1701346258	1533319146	1614775236	1576022384	1638611164	1708186969	1882414243	1833021521	1898309391	1729480800	1767199076	1740845917	1754601544	1694582613	1714428578
P11142	HSPA8	Heat_shock_cognate_71_kDa_protein_OS=Homo_sapiens_OX=9606	32507190363	31359640033	30421805185	26918862282	24448359480	24265764285	33685203159	33846004431	33433083640	26361033179	26024847558	25887509556	29556563341	30391805372	30398228017	22419365579	23407977616	23469517576
P11586	MTHFD1	"C-1-tetrahydrofolate_synthase,_cytoplasmic_OS=Homo_sapiens_OX=9606"	3433888200	3383300819	3473130699	3307071318	3344853140	3454567699	2990974900	3032579729	3013588885	3119011997	3000366817	3006489580	3199697064	3093054421	3152693870	2790883197	2742772112	2774798521
Q92608	DOCK2	Dedicator_of_cytokinesis_protein_2_OS=Homo_sapiens_OX=9606	1984881792	2147551630	2157365652	2362684184	2200048171	2337377829	1732536128	1617702424	1646064089	1778183542	1427909370	1368363119	2288289312	2245097711	2288772594	1697283956	1486690036	1597540114
P53621	COPA	Coatomer_subunit_alpha_OS=Homo_sapiens_OX=9606	1744095047	1779604128	1771449703	1733188006	1788330747	1761586545	1445527059	1587076953	1568949341	1732452782	1673298110	1832501282	1699101295	1695519440	1704097919	1710185800	1783944544	1910049277
Q92835	INPP5D	"Phosphatidylinositol_3,4,5-trisphosphate_5-phosphatase_1_OS=Homo_sapiens_OX=9606"	1458019744	1533936850	1431875201	1703057738	1727402918	1717401918	1323216645	1351203628	1297287978	1539227810	1417153974	1526348776	1563461707	1511968227	1572832835	1595800472	1636130881	1636107051
P78371	CCT2	T-complex_protein_1_subunit_beta_OS=Homo_sapiens_OX=9606	3982393256	4175790536	4009967398	4629106622	4401529726	4555123662	3771410741	3726577641	3967786388	5295473528	5421247339	5548816924	4261375878	4452367667	4134279753	4710043663	4637317546	4743223270
P07437	TUBB	Tubulin_beta_chain_OS=Homo_sapiens_OX=9606	32548059095	32807285603	31618598218	28611028423	28777164629	28609218111	32567030845	31626352008	33512463189	28421202494	27216062665	27603649571	33248849051	34444782838	34639469428	26644599689	25941652448	26398645917
Q9NYU2	UGGT1	UDP-glucose:glycoprotein_glucosyltransferase_1_OS=Homo_sapiens_OX=9606	713149763	672209618	708405944	664255868	630813794	592663443	561273978	544799627	558043596	630690454	662058068	634826443	1192806380	1150548782	1132103716	1033095917	1094539850	1102502995
P50990	CCT8	T-complex_protein_1_subunit_theta_OS=Homo_sapiens_OX=9606	7788983242	6687523947	6942758892	7106780816	7906054944	7280835264	7143171702	7120716149	7316943318	8157088778	7731591624	8070840020	7502639988	7251313975	7343676202	7782116149	7871426306	7890369115
P31939	ATIC	Bifunctional_purine_biosynthesis_protein_ATIC_OS=Homo_sapiens_OX=9606	2402845939	2519221058	2403154446	2613519143	2483079416	2569216183	2670333141	2587362647	2744280712	2726855103	2710922861	2774687917	2550376691	2606628352	2622558072	2220984661	2317696530	2319361365
Q14697	GANAB	Neutral_alpha-glucosidase_AB_OS=Homo_sapiens_OX=9606	1985921470	1969022321	1833001520	2057278159	1916906763	2089581694	1626430553	1741007569	1690954789	1968191547	1804529914	1783428687	2493626689	2569042971	2488433555	2501009286	2576536788	2619045743
P04406	GAPDH	Glyceraldehyde-3-phosphate_dehydrogenase_OS=Homo_sapiens_OX=9606	26357694828	26465077620	24873883186	22339732039	20630513596	21173614641	28714010544	29085701507	29201072697	22277061730	23409275046	23143412622	25589983110	26858782266	26993014489	21901141144	22435575757	22187383375
Q02880	TOP2B	DNA_topoisomerase_2-beta_OS=Homo_sapiens_OX=9606	2030375137	2052117398	2121003665	1735056497	1779587277	1748196496	1553212319	1548870692	1566777339	1200331908	1250291499	1236879109	1694145878	1721223750	1668494707	1120984984	1129914947	1090725881
Q9P2J5	LARS1	"Leucine--tRNA_ligase,_cytoplasmic_OS=Homo_sapiens_OX=9606"	1896550464	1978225985	1933462311	2035513208	2058875982	1998698582	1714784743	1763065584	1753823295	1729813540	1657662913	1666179914	1930780800	1933337641	1865106925	1774225055	1801232094	1757317755
P11388	TOP2A	DNA_topoisomerase_2-alpha_OS=Homo_sapiens_OX=9606	2291598384	2324365620	2311782955	2383031001	2297504204	2394271806	1542758572	1549843402	1587818038	1808140990	1844414237	1717347985	1500863126	1429099786	1322497134	1477728701	1592174800	1617132698
P05023	ATP1A1	Sodium/potassium-transporting_ATPase_subunit_alpha-1_OS=Homo_sapiens_OX=9606	2261689894	2392438284	2451128201	1987540787	2178087732	2017617785	1918560564	1898642211	2007779775	1905408497	2072329128	1903974469	3696623848	3408613983	3635605775	3443426233	3390785456	3353390171
O00410	IPO5	Importin-5_OS=Homo_sapiens_OX=9606	1640749144	1201715088	1252145735	1591823756	1388592321	1315220007	1782374611	1515646098	1550333898	1679070638	1660572208	1912452845	1705179820	1614441034	1576822024	1619219528	1506253891	1484157755
P17987	TCP1	T-complex_protein_1_subunit_alpha_OS=Homo_sapiens_OX=9606	4729664713	4974984108	4729292483	4729254607	4610187531	4846458039	4994545300	5152203195	5141000726	5137905758	5207639178	5054375437	5414103882	5300836951	5403404055	4728179204	4693917435	4809639178
Q9Y4L1	HYOU1	Hypoxia_up-regulated_protein_1_OS=Homo_sapiens_OX=9606	1188085544	1199300166	1271180811	980922273	1079946107	1036629051	1130497577	1127104939	1174062215	1113793135	1150317434	1102170175	1181524161	1142370680	1164517195	1106579883	1110597105	997086696
P26038	MSN	Moesin_OS=Homo_sapiens_OX=9606	3605640890	3063660113	3559056396	3232273421	3663528593	3325071985	3428386647	3280685740	3225843174	3757081375	4151409765	4035098104	3772190506	3490982296	3445069842	4574986010	4586607168	4485389373
Q9UPN3	MACF1	"Microtubule-actin_cross-linking_factor_1,_isoforms_1/2/3/5_OS=Homo_sapiens_OX=9606"	230867685	236847191	251491671	311285359	309286176	322752379	259682121	243524589	258097742	310886447	318287478	277135667	281739892	278037191	293587487	375610693	320819968	339655436
P29144	TPP2	Tripeptidyl-peptidase_2_OS=Homo_sapiens_OX=9606	1509966957	1664524000	1544461736	1727366817	1735692359	1803572700	1731694844	1719610355	1739642185	2042118687	1781201990	1863667586	1963990199	2020476084	2032170150	2147766863	2231153878	2203043728
P60842	EIF4A1	Eukaryotic_initiation_factor_4A-I_OS=Homo_sapiens_OX=9606	5616062032	5993879355	5819412117	5893754256	6004477115	6041778545	5492968138	5568720359	5521002325	6005451453	5610231397	5716016803	4828177587	4831405316	4764961012	4455294879	4549782265	4650354561
P13667	PDIA4	Protein_disulfide-isomerase_A4_OS=Homo_sapiens_OX=9606	3896425931	4024314228	4041468550	4415866174	4391690075	4565987944	3538357709	3607780917	3601695403	4072883393	3915870763	3906594640	4266634141	4331006855	4369406212	4746321204	4706504117	4642300406
P08133	ANXA6	Annexin_A6_OS=Homo_sapiens_OX=9606	4300159422	4120074884	4223847927	5407833436	5043534190	5178792962	4585984733	4524144309	4663138185	4744885387	4133743030	4356317968	2427772533	2428612809	2451705912	4183781156	4401987997	4425269080
Q92621	NUP205	Nuclear_pore_complex_protein_Nup205_OS=Homo_sapiens_OX=9606	2196395718	2476683301	2398010219	2260965652	2140231365	2088122283	2202292082	2155713931	2152420208	1953018192	1943246840	1921312936	2276946236	2248406136	2260889156	1758759342	1993074849	1997217880
P33991	MCM4	DNA_replication_licensing_factor_MCM4_OS=Homo_sapiens_OX=9606	3068927620	3112175874	3027430986	3067758320	2990203392	2931608339	2676919404	2466173619	2683123665	2544645131	2598292220	2426424398	2305499814	2121734533	2171569003	1610330258	1569320822	1609561135
P38646	HSPA9	"Stress-70_protein,_mitochondrial_OS=Homo_sapiens_OX=9606"	9375217838	8861679517	9424085462	7972557142	8354067762	8194854693	7072152857	6522909741	6450476446	6286662346	7234422696	6959881219	8320471699	7203285183	6940922051	7275237441	7527552620	7329784635
P0DMV9	HSPA1B	Heat_shock_70_kDa_protein_1B_OS=Homo_sapiens_OX=9606	4175999994	4233750894	3994931196	3641688406	3603387771	3718726391	4297865587	4588059966	4178179837	3999958035	3689121586	3670146863	3832035017	3877075521	3964204349	3213386424	3214302583	3171773056
P55060	CSE1L	Exportin-2_OS=Homo_sapiens_OX=9606	2006972616	1959899327	1911681810	2179572978	2165837854	2090174106	1887706729	1885292681	1920813351	2157033066	2127553253	2189025115	1586530118	1453952889	1663339545	1639314937	1743350941	1661247083
P29401	TKT	Transketolase_OS=Homo_sapiens_OX=9606	5775986284	5710003072	5773718825	4473338700	4544355358	4154599508	6112701838	6109065146	6333508625	5147087077	5232821526	5077306089	5381781956	5443086862	5470740773	6085968822	6054881494	6134829253
Q14974	KPNB1	Importin_subunit_beta-1_OS=Homo_sapiens_OX=9606	1811714969	1956246845	1965481653	2394568667	2207728674	2115159042	2030709240	1983802066	2019190513	2206632670	2252192455	2217610186	2116251623	2001617576	2022882268	2080203401	2340095036	2186448982
P11021	HSPA5	Endoplasmic_reticulum_chaperone_BiP_OS=Homo_sapiens_OX=9606	9986367059	10316282453	10111436039	8811033579	8971604111	8788237106	9344639804	9308127172	9300693830	7590403899	7884353171	7935975164	10667711014	10247793063	10337719164	8657831853	8260192223	8496939226
Q92900	UPF1	Regulator_of_nonsense_transcripts_1_OS=Homo_sapiens_OX=9606	901962327	935507775	895395386	1026902024	1100233217	1097622060	897126245	906739012	907189527	985705935	894888993	960100205	885697461	902036486	909324836	796814268	879898005	826487998
P41250	GARS1	Glycine--tRNA_ligase_OS=Homo_sapiens_OX=9606	3047179881	2946191238	3067468087	2760618596	2741082746	2664792071	2732346139	2732035109	2679361661	2585564528	2692105749	2647707272	2915653331	2822915311	2983833615	2559542556	2660851284	2614935347
P68104	EEF1A1	Elongation_factor_1-alpha_1_OS=Homo_sapiens_OX=9606	20626082974	20258771978	19415658096	19144622652	19116665700	18048815406	15639006492	15006239101	14729088329	13313721420	15796353835	14524606503	14284997544	14497285040	13436437112	12273572621	12158584211	12226329466
P49321	NASP	Nuclear_autoantigenic_sperm_protein_OS=Homo_sapiens_OX=9606	1817079341	1993087079	1850157758	1767048207	1659725442	1712091818	2226793133	2280868688	2184481183	1677262057	1634409840	1663383688	1822403088	1920490119	1714736250	1658491608	1618476034	1694560428
O75369	FLNB	Filamin-B_OS=Homo_sapiens_OX=9606	88736731	100095586	108352673	306109607	454787428	96859600	98280922	114127014	100876697	131764834	100399284	115396887	117632656	124935077	133628362	135796326	130299004	139354885
Q6ZS81	WDFY4	WD_repeat-_and_FYVE_domain-containing_protein_4_OS=Homo_sapiens_OX=9606	281548676	321333500	316107764	366280144	345170368	349832196	278685314	273818004	282615751	312276484	284155209	304351094	348106160	346517284	335638398	323974050	316840219	318875460
Q13200	PSMD2	26S_proteasome_non-ATPase_regulatory_subunit_2_OS=Homo_sapiens_OX=9606	1111323132	1181865164	1145344166	1199075455	1173289074	1183699778	1045416105	1069932434	1047966777	1111331464	1087928126	1054191631	1097814610	1046727483	1102297448	1000585409	1028646733	1026498773
Q12906	ILF3	Interleukin_enhancer-binding_factor_3_OS=Homo_sapiens_OX=9606	1623376965	1766179825	1613704378	1948865776	1774395889	1851897310	2027004287	2124028983	2093536033	2172190302	2110391830	2068626137	2012724957	2005521086	2043389327	2186871533	2181974151	2103878153
Q8TEM1	NUP210	Nuclear_pore_membrane_glycoprotein_210_OS=Homo_sapiens_OX=9606	926917808	962848844	962633518	979156009	1099822708	1024068175	851362765	867844647	877313810	1100180405	1018381214	950197627	1054244340	997729279	1041540399	1113312885	1104007228	1116552328
P50991	CCT4	T-complex_protein_1_subunit_delta_OS=Homo_sapiens_OX=9606	4192597209	4145679407	4217118380	4615307223	4681173406	4639341339	4034120569	4231425097	4394229271	5077493314	4996289110	4963455381	4190244323	4217772340	4151236375	4730367322	4673144444	4685049327
Q13085	ACACA	Acetyl-CoA_carboxylase_1_OS=Homo_sapiens_OX=9606	977778822	987571319	1029430237	1002626741	985633360	1050308224	919248836	960066412	964802832	873675093	830707130	839427402	1032697221	1041491277	1095332848	887523886	930400429	935472468
