chr	start	end	strand	locus	gene	part
chr14	106583501	106583807	-	IgH (V)	IGHV8-51-1	transcript
chr14	106592676	106593347	-	IgH (V)	IGHV3-53	transcript
chr14	106622357	106622855	-	IgH (V)	IGHV1-58	transcript
chr14	106627249	106627825	-	IgH (V)	IGHV4-59	transcript
chr14	106639119	106639657	-	IgH (V)	IGHV4-61	transcript
chr14	106657725	106658258	-	IgH (V)	IGHV3-64	transcript
chr14	106675017	106675544	-	IgH (V)	IGHV3-66	transcript
chr14	106714684	106715181	-	IgH (V)	IGHV1-69	transcript
chr14	106723574	106724093	-	IgH (V)	IGHV2-70D	transcript
chr14	106737110	106737547	-	IgH (V)	IGHV1-69-2	transcript
chr14	106762092	106762588	-	IgH (V)	IGHV1-69D	transcript
chr14	106770577	106771020	-	IgH (V)	IGHV2-70	transcript
chr14	106790694	106791233	-	IgH (V)	IGHV3-72	transcript
chr14	106802694	106803233	-	IgH (V)	IGHV3-73	transcript
chr14	106810442	106811131	-	IgH (V)	IGHV3-74	transcript
chr14	106874583	106875071	-	IgH (V)	IGHV7-81	transcript
chr18	63123346	63128627	-	BCL2	BCL2-202	UTR
chr18	63128625	63128759	-	BCL2	BCL2-202	CDS
chr18	63318082	63318666	-	BCL2	BCL2-202	CDS
chr18	63318667	63320128	-	BCL2	BCL2-202	UTR
chr22	22030934	22031472	+	IgL (V)	IGLV4-69	transcript
chr22	22098700	22099212	+	IgL (V)	IGLV8-61	transcript
chr22	22162199	22162681	+	IgL (V)	IGLV4-60	transcript
chr22	22195799	22196276	+	IgL (V)	IGLV6-57	transcript
chr22	22201663	22202161	+	IgL (V)	IGLV11-55	transcript
chr22	22214794	22215270	+	IgL (V)	IGLV10-54	transcript
chr22	22318727	22319226	+	IgL (V)	IGLV5-52	transcript
chr22	22322472	22322969	+	IgL (V)	IGLV1-51	transcript
chr22	22327300	22327814	+	IgL (V)	IGLV1-50	transcript
chr22	22343187	22343732	+	IgL (V)	IGLV9-49	transcript
chr22	22352940	22353433	+	IgL (V)	IGLV5-48	transcript
chr22	22357739	22358260	+	IgL (V)	IGLV1-47	transcript
chr22	22369614	22370087	+	IgL (V)	IGLV7-46	transcript
chr22	22375986	22376505	+	IgL (V)	IGLV5-45	transcript
chr22	22380766	22381347	+	IgL (V)	IGLV1-44	transcript
chr22	22395018	22395489	+	IgL (V)	IGLV7-43	transcript
chr22	22409766	22410282	+	IgL (V)	IGLV1-40	transcript
chr22	22427540	22428035	+	IgL (V)	IGLV5-37	transcript
chr22	22431958	22432465	+	IgL (V)	IGLV1-36	transcript
chr22	22588155	22588688	+	IgL (V)	IGLV2-33	transcript
chr22	22594528	22595056	+	IgL (V)	IGLV3-32	transcript
chr22	22668288	22668806	+	IgL (V)	IGLV3-27	transcript
chr22	22686726	22687271	+	IgL (V)	IGLV3-25	transcript
chr22	22697789	22698407	+	IgL (V)	IGLV2-23	transcript
chr22	22704265	22704822	+	IgL (V)	IGLV3-22	transcript
chr22	22711689	22713203	+	IgL (V)	IGLV3-21	transcript
chr22	22720623	22721145	+	IgL (V)	IGLV3-19	transcript
chr22	22734607	22735089	+	IgL (V)	IGLV2-18	transcript
chr22	22747383	22747921	+	IgL (V)	IGLV3-16	transcript
chr22	22758700	22759218	+	IgL (V)	IGLV2-14	transcript
chr22	22771824	22772582	+	IgL (V)	IGLV3-12	transcript
chr22	22792491	22793007	+	IgL (V)	IGLV2-11	transcript
chr22	22811747	22812281	+	IgL (V)	IGLV3-10	transcript
chr22	22819010	22819756	+	IgL (V)	IGLV3-9	transcript
chr22	22822658	22823289	+	IgL (V)	IGLV2-8	transcript
chr22	22871507	22872035	+	IgL (V)	IGLV4-3	transcript
chr22	22880706	22881396	+	IgL (V)	IGLV3-1	transcript
chr22	22893692	22893818	+	IgL (J)	IGLJ1	transcript
chr22	22895375	22895834	+	IgL (C)	IGLC1	transcript
chr22	22899481	22899655	+	IgL (J)	IGLJ2	transcript
chr22	22900976	22901437	+	IgL (C)	IGLC2	transcript
chr22	22904850	22905025	+	IgL (J)	IGLJ3	transcript
chr22	22906342	22906803	+	IgL (C)	IGLC3	transcript
chr22	22910574	22910606	+	IgL (J)	IGLJ4	transcript
chr22	22914237	22914308	+	IgL (J)	IGLJ5	transcript
chr22	22918132	22918201	+	IgL (J)	IGLJ6	transcript
chr22	22921390	22921435	+	IgL (J)	IGLJ7	transcript
chr22	22922594	22923034	+	IgL (C)	IGLC7	transcript
chr3	188153284	188153363	+	LPP	LPP-208	UTR
chr3	188341663	188341719	+	LPP	LPP-208	UTR
chr3	188406112	188406120	+	LPP	LPP-208	UTR
chr3	188406121	188406313	+	LPP	LPP-208	CDS
chr3	188484592	188484704	+	LPP	LPP-208	CDS
chr3	188524665	188524787	+	LPP	LPP-208	CDS
chr3	188609161	188609844	+	LPP	LPP-208	CDS
chr3	188708267	188708440	+	LPP	LPP-208	CDS
chr3	188708438	188712842	+	LPP	LPP-208	UTR
chr8	127735434	127736593	+	MYC	MYC-206	UTR
chr8	127736594	127736623	+	MYC	MYC-206	CDS
chr8	127738248	127739019	+	MYC	MYC-206	CDS
chr8	127740396	127740958	+	MYC	MYC-206	CDS
chr8	127740956	127742951	+	MYC	MYC-206	UTR
chr8	127794575	128101254	+	PVT1	PVT1-265	transcript
chr12	25004308	25004341	+	IRAG2	IRAG2-221	UTR
chr12	25004342	25004915	+	IRAG2	IRAG2-221	CDS
chr12	25005241	25005354	+	IRAG2	IRAG2-221	CDS
chr12	25011344	25011551	+	IRAG2	IRAG2-221	CDS
chr12	25015182	25015261	+	IRAG2	IRAG2-221	CDS
chr12	25015350	25015428	+	IRAG2	IRAG2-221	CDS
chr12	25017134	25017292	+	IRAG2	IRAG2-221	CDS
chr12	25020790	25020907	+	IRAG2	IRAG2-221	CDS
chr12	25023871	25023921	+	IRAG2	IRAG2-221	CDS
chr12	25026789	25026866	+	IRAG2	IRAG2-221	CDS
chr12	25030278	25030334	+	IRAG2	IRAG2-221	CDS
chr12	25032142	25032201	+	IRAG2	IRAG2-221	CDS
chr12	25032305	25032369	+	IRAG2	IRAG2-221	CDS
chr12	25033848	25033947	+	IRAG2	IRAG2-221	CDS
chr12	25035653	25035787	+	IRAG2	IRAG2-221	CDS
chr12	25036585	25036686	+	IRAG2	IRAG2-221	CDS
chr12	25037974	25038137	+	IRAG2	IRAG2-221	CDS
chr12	25052235	25052349	+	IRAG2	IRAG2-221	CDS
chr12	25052794	25052956	+	IRAG2	IRAG2-221	CDS
chr12	25061592	25061653	+	IRAG2	IRAG2-221	CDS
chr12	25062820	25062900	+	IRAG2	IRAG2-221	CDS
chr12	25063723	25063816	+	IRAG2	IRAG2-221	CDS
chr12	25066365	25066512	+	IRAG2	IRAG2-221	CDS
chr12	25069350	25069431	+	IRAG2	IRAG2-221	CDS
chr12	25079244	25079290	+	IRAG2	IRAG2-221	CDS
chr12	25079398	25079462	+	IRAG2	IRAG2-221	CDS
chr12	25079656	25079763	+	IRAG2	IRAG2-221	CDS
chr12	25083423	25083493	+	IRAG2	IRAG2-221	CDS
chr12	25088100	25088157	+	IRAG2	IRAG2-221	CDS
chr12	25089614	25089677	+	IRAG2	IRAG2-221	CDS
chr12	25089763	25089790	+	IRAG2	IRAG2-221	CDS
chr12	25090057	25090197	+	IRAG2	IRAG2-221	CDS
chr12	25096910	25097044	+	IRAG2	IRAG2-221	CDS
chr12	25101178	25101325	+	IRAG2	IRAG2-221	CDS
chr12	25102198	25102241	+	IRAG2	IRAG2-221	CDS
chr12	25103837	25103899	+	IRAG2	IRAG2-221	CDS
chr12	25104009	25104058	+	IRAG2	IRAG2-221	CDS
chr12	25104361	25104462	+	IRAG2	IRAG2-221	CDS
chr12	25106943	25107050	+	IRAG2	IRAG2-221	CDS
chr12	25107817	25108060	+	IRAG2	IRAG2-221	CDS
chr12	25108058	25108235	+	IRAG2	IRAG2-221	UTR
chr8	129839593	129842144	-	CYRIB	CYRIB-215	UTR
chr8	129842142	129842205	-	CYRIB	CYRIB-215	CDS
chr8	129846804	129846874	-	CYRIB	CYRIB-215	CDS
chr8	129849243	129849369	-	CYRIB	CYRIB-215	CDS
chr8	129850835	129850914	-	CYRIB	CYRIB-215	CDS
chr8	129852162	129852278	-	CYRIB	CYRIB-215	CDS
chr8	129854266	129854343	-	CYRIB	CYRIB-215	CDS
chr8	129855611	129855747	-	CYRIB	CYRIB-215	CDS
chr8	129862229	129862334	-	CYRIB	CYRIB-215	CDS
chr8	129871375	129871496	-	CYRIB	CYRIB-215	CDS
chr8	129879389	129879461	-	CYRIB	CYRIB-215	CDS
chr8	129879462	129879471	-	CYRIB	CYRIB-215	UTR
chr8	129903312	129903350	-	CYRIB	CYRIB-215	UTR
chr8	129939608	129939832	-	CYRIB	CYRIB-215	UTR
