case	Index	Histology	Class	Site	DNA	Gender	Idb	tissue	BCL2	MYC	BCL2_MYC	Type	ZCCHC7	PAX5.noncoding	PAX5_INDEL	Pos37025363GC	Pos37026315GC	Pos37026417GC	Pos37026680GC	z_PAX5	z_ZCCHC7	Mutation_number	WRCY	AID_fraction
RG008	29	GCB	Primary	DLBCL	WGS	male	SRR390908	Tumor	WT	WT	WT	nonDHL	WT	Mut	WT	Mut	WT	WT	WT	15.214268	12.185289	2198	104	0.047315742
RG010	30	GCB	Primary	DLBCL	noWGS	male	SRR554510	Tumor	chr2	NotAvailable	SV	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.871275	11.54847	NA	NA	NA
RG012	31	ABC	Primary	DLBCL	noWGS	male	SRR391487	Tumor	IgH	NotAvailable	SV	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.063477	12.806281	NA	NA	NA
RG013	32	GCB	Primary	DLBCL	WGS	male	SRR390849	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	13.355316	13.762933	5628	214	0.038024165
RG014	33	GCB	Primary	DLBCL	WGS	female	SRR390824	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.364889	13.242943	27065	559	0.020653981
RG015	34	ABC	Primary	DLBCL	noWGS	female	SRR390830	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.670577	11.481452	NA	NA	NA
RG016	35	ABC	Primary	DLBCL	noWGS	male	SRR391488	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.815309	11.067111	NA	NA	NA
RG020	36	ABC	Primary	DLBCL	noWGS	male	SRR390871	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.991848	12.730512	NA	NA	NA
RG022	37	GCB	Primary	DLBCL	noWGS	female	SRR390866	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.577059	13.392068	NA	NA	NA
RG023	38	ABC	Primary	DLBCL	noWGS	male	SRR390882	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.154677	12.477455	NA	NA	NA
RG024	39	U	Primary	DLBCL	WGS	female	SRR390835	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	13.950652	12.989547	4597	171	0.037198173
RG025	40	U	Primary	DLBCL	noWGS	male	SRR390836	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.495631	12.797526	NA	NA	NA
RG026	41	ABC	Primary	DLBCL	WGS	male	SRR390872	Tumor	WT	WT	WT	nonDHL	pDUP	WT	WT	WT	WT	WT	WT	14.002427	11.554648	10341	398	0.038487574
RG027	42	ABC	Primary	DLBCL	WGS	female	SRR390837	Tumor	WT	WT	WT	nonDHL	WT	Mut	WT	WT	WT	WT	WT	16.225952	12.067756	12288	469	0.038167318
RG028	43	ABC	Primary	DLBCL	WGS	male	SRR390909	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.36923	11.823817	24447	946	0.038695955
RG030	44	GCB	Primary	DLBCL	noWGS	female	SRR390826	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.864377	11.112777	NA	NA	NA
RG031	45	GCB	Primary	DLBCL	noWGS	male	SRR390838	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.591757	11.335011	NA	NA	NA
RG032	46	ABC	Primary	DLBCL	noWGS	male	SRR390827	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.197211	11.903065	NA	NA	NA
RG034	47	GCB	Primary	DLBCL	WGS	female	SRR390828	Tumor	IgH	WT	SV	nonDHL	WT	Mut	WT	WT	WT	WT	WT	13.986731	12.753307	11694	469	0.040106037
RG035	48	GCB	Primary	DLBCL	noWGS	male	SRR391489	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.821072	11.789741	NA	NA	NA
RG036	49	ABC	Primary	DLBCL	WGS	female	SRR390902	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	15.709155	11.800204	8051	328	0.040740281
RG038	50	ABC	Primary	DLBCL	WGS	male	SRR390906	Tumor	WT	IgH	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.514184	11.408951	9960	502	0.050401606
RG040	51	GCB	Primary	DLBCL	WGS	male	SRR390839	Tumor	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	16.313699	12.397769	4212	180	0.042735043
RG043	52	GCB	Primary	DLBCL	WGS	male	SRR390829	Tumor	IgH	WT	SV	nonDHL	WT	Mut	WT	WT	Mut	WT	WT	14.637458	13.217289	67579	2001	0.02960979
RG045	53	GCB	Primary	DLBCL	noWGS	male	SRR390831	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	12.686198	13.694371	NA	NA	NA
RG047	54	ABC	Primary	DLBCL	noWGS	male	SRR390833	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	6.938527	11.819333	NA	NA	NA
RG048	55	ABC	Primary	DLBCL	noWGS	male	SRR390840	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.890593	11.077541	NA	NA	NA
RG049	56	ABC	Primary	DLBCL	WGS	male	SRR390841	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	11.899709	12.55499	2791	118	0.042278753
RG050	57	GCB	Primary	DLBCL	noWGS	male	SRR390842	Tumor	IgH	NotAvailable	SV	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.241999	12.728918	NA	NA	NA
RG051	58	U	Primary	DLBCL	WGS	male	SRR390843	Tumor	WT	WT	WT	nonDHL	Gain	WT	WT	WT	WT	WT	WT	14.435497	12.998947	8500	397	0.046705882
RG052	59	ABC	Primary	DLBCL	noWGS	female	SRR390844	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	11.906139	12.864714	NA	NA	NA
RG053	60	GCB	Primary	DLBCL	noWGS	male	SRR391495	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.46025	12.75051	NA	NA	NA
RG054	61	GCB	Primary	DLBCL	WGS	male	SRR391281	Tumor	WT	WT	WT	nonDHL	WT	Mut	Mut	WT	WT	WT	WT	13.843761	12.118413	5416	220	0.040620384
RG055	62	GCB	Primary	DLBCL	WGS	male	SRR391490	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	13.407014	12.488104	806	29	0.035980149
RG056	63	GCB	Primary	DLBCL	noWGS	male	SRR391491	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.79941	12.485168	NA	NA	NA
RG057	64	GCB	Primary	DLBCL	noWGS	male	SRR391492	Tumor	IgH	NotAvailable	SV	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.73194	12.456152	NA	NA	NA
RG058	65	ABC	Primary	DLBCL	noWGS	male	SRR390845	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.506115	12.958434	NA	NA	NA
RG060	66	GCB	Primary	DLBCL	noWGS	male	SRR390847	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	11.862815	12.042012	NA	NA	NA
RG061	67	ABC	Primary	DLBCL	WGS	female	SRR390819	Tumor	WT	WT	WT	nonDHL	WT	Mut	WT	WT	WT	Mut	WT	14.877263	11.779342	4949	248	0.050111134
RG062	68	GCB	Primary	DLBCL	noWGS	male	SRR391493	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.827195	11.846944	NA	NA	NA
RG063	69	GCB	Primary	DLBCL	noWGS	female	SRR391494	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.013428	11.577284	NA	NA	NA
RG064	70	GCB	Primary	DLBCL	WGS	female	SRR391283	Tumor	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.949642	12.568038	5191	213	0.041032556
RG065	71	ABC	Primary	DLBCL	WGS	male	SRR391284	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	15.250681	12.477083	4787	227	0.047420096
RG066	72	GCB	Primary	DLBCL	noWGS	male	SRR391496	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	12.754584	12.738997	NA	NA	NA
RG067	73	U	Primary	DLBCL	WGS	female	SRR391285	Tumor	WT	WT	WT	nonDHL	DEL	Mut	WT	WT	WT	Mut	WT	11.680969	12.757302	7441	327	0.043945706
RG068	74	GCB	Primary	DLBCL	WGS	female	SRR390867	Tumor	IgH	LOC645177	SV	DHL	WT	WT	WT	WT	WT	WT	WT	13.887939	13.040919	12545	426	0.033957752
RG069	75	GCB	Primary	DLBCL	noWGS	male	SRR391498	Tumor	IgH	NotAvailable	SV	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.128921	12.149445	NA	NA	NA
RG071	76	GCB	Primary	DLBCL	noWGS	female	SRR391497	Tumor	IgH	NotAvailable	SV	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.910068	12.120664	NA	NA	NA
RG072	77	GCB	Primary	DLBCL	noWGS	male	SRR391500	Tumor	IgH	NotAvailable	SV	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.086556	12.03367	NA	NA	NA
RG073	78	ABC	Primary	DLBCL	noWGS	female	SRR391499	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.605594	12.01287	NA	NA	NA
RG074	79	ABC	Primary	DLBCL	WGS	male	SRR390855	Tumor	WT	WT	WT	nonDHL	Gain	WT	WT	WT	WT	WT	WT	16.313699	11.849483	5171	240	0.046412686
RG075	80	GCB	Primary	DLBCL	WGS	male	SRR353116	Tumor	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.70725	12.200876	5019	214	0.042637976
RG076	81	GCB	Primary	DLBCL	noWGS	female	SRR390856	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.773138	11.291775	NA	NA	NA
RG077	82	GCB	Primary	DLBCL	WGS	female	SRR390857	Tumor	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.121733	12.523006	5239	195	0.037220844
RG078_1	83	ABC	Primary	DLBCL	noWGS	female	SRR1303110	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.527368	13.237836	NA	NA	NA
RG078_2	84	ABC	Primary	DLBCL	noWGS	female	SRR554507	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.527368	13.237836	NA	NA	NA
RG079	85	GCB	Primary	DLBCL	noWGS	male	SRR390861	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.250681	12.223016	NA	NA	NA
RG080_1	86	GCB	Primary	DLBCL	noWGS	female	SRR1303111	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.525347	10.954005	NA	NA	NA
RG080_2	87	GCB	Primary	DLBCL	noWGS	female	SRR554508	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.525347	10.954005	NA	NA	NA
RG081	88	ABC	Primary	DLBCL	WGS	female	SRR390863	Tumor	WT	WT	WT	nonDHL	Gain	Mut	WT	WT	WT	WT	WT	14.544817	11.762945	15412	622	0.040358162
RG082	89	GCB	Primary	DLBCL	WGS	male	SRR390864	Tumor	WT	WT	WT	nonDHL	WT	Mut	Mut	WT	Mut	WT	WT	15.657237	12.074265	2275	117	0.051428571
RG083	90	GCB	Primary	DLBCL	WGS	female	SRR390865	Tumor	IgH	WT	SV	nonDHL	WT	Mut	WT	WT	WT	Mut	Mut	15.631262	12.56044	7804	351	0.044976935
RG084	91	GCB	Primary	DLBCL	noWGS	male	SRR390868	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.709155	12.266905	NA	NA	NA
RG085	92	GCB	Primary	DLBCL	noWGS	female	SRR390869	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.068972	11.853187	NA	NA	NA
RG086	93	ABC	Primary	DLBCL	WGS	male	SRR390870	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.712808	11.348244	10724	438	0.040842969
RG104	94	ABC	Primary	DLBCL	noWGS	male	SRR390873	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.712808	12.405379	NA	NA	NA
RG106	95	GCB	Primary	DLBCL	noWGS	female	SRR390880	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.617549	12.616283	NA	NA	NA
RG111	96	GCB	Primary	DLBCL	WGS	female	SRR390884	Tumor	WT	WT	WT	nonDHL	WT	Mut	WT	WT	WT	WT	WT	12.684095	12.53651	32416	806	0.024864265
RG114	97	ABC	Primary	DLBCL	noWGS	male	SRR390874	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	16.339512	12.712528	NA	NA	NA
RG115	98	U	Primary	DLBCL	WGS	male	SRR390885	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	13.614823	10.625567	7842	267	0.034047437
RG116	99	GCB	Primary	DLBCL	WGS	female	SRR390875	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	13.981643	12.442719	20368	729	0.035791438
RG117	100	U	Primary	DLBCL	noWGS	male	SRR390881	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	16.225952	11.895533	NA	NA	NA
RG121	101	U	Primary	DLBCL	noWGS	male	SRR390886	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.90387	12.208068	NA	NA	NA
RG122	102	GCB	Primary	DLBCL	noWGS	female	SRR390887	Tumor	IgH	NotAvailable	SV	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.379472	12.674337	NA	NA	NA
RG125	103	ABC	Primary	DLBCL	noWGS	male	SRR390892	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	11.616136	11.284075	NA	NA	NA
RG126	104	GCB	Primary	DLBCL	noWGS	male	SRR390891	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	6.127395	6.694427	NA	NA	NA
RG127	105	ABC	Primary	DLBCL	noWGS	female	SRR390889	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.87611	11.594683	NA	NA	NA
RG129	106	U	Primary	DLBCL	noWGS	male	SRR390890	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.240504	12.049843	NA	NA	NA
RG130	107	GCB	Primary	DLBCL	WGS	male	SRR390893	Tumor	WT	WT	WT	nonDHL	WT	Mut	WT	WT	WT	WT	WT	15.291903	12.366481	17619	657	0.03728929
RG131	108	GCB	Primary	DLBCL	noWGS	male	SRR390894	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.617549	12.278181	NA	NA	NA
RG132	109	GCB	Primary	DLBCL	WGS	male	SRR390895	Tumor	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	15.746547	11.988732	7678	261	0.033993227
RG133	110	GCB	Primary	DLBCL	WGS	female	SRR390896	Tumor	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	14.451691	11.568772	184	8	0.043478261
RG134	111	U	Primary	DLBCL	noWGS	male	SRR390903	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	13.916984	11.864514	NA	NA	NA
RG135	112	GCB	Primary	DLBCL	WGS	male	SRR390897	Tumor	IgH	WT	SV	nonDHL	WT	WT	WT	WT	WT	WT	WT	15.119499	11.810616	11540	496	0.042980936
RG136	113	GCB	Primary	DLBCL	WGS	male	SRR390899	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	16.733862	13.054405	11808	372	0.031504065
RG137	114	ABC	Primary	DLBCL	noWGS	female	SRR390900	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	15.119499	11.539746	NA	NA	NA
RG138	115	ABC	Primary	DLBCL	WGS	male	SRR390901	Tumor	WT	WT	WT	nonDHL	WT	WT	WT	WT	WT	WT	WT	15.593604	10.998119	6202	219	0.03531119
RG140	116	ABC	Primary	DLBCL	noWGS	female	SRR390904	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.558435	11.503135	NA	NA	NA
RG141	117	GCB	Primary	DLBCL	noWGS	female	SRR390905	Tumor	NotAvailable	NotAvailable	NA	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	12.026246	11.952367	NA	NA	NA
RG142	118	GCB	Primary	DLBCL	WGS	male	SRR390907	Tumor	WT	WT	WT	nonDHL	WT	Mut	Mut	Mut	Mut	WT	Mut	14.406502	11.962916	17940	867	0.048327759
OCILY1	119	GCB	Metastasis	DLBCL	WGS	male	SRR15127780	CellLine	IgH	Intergenic	SV	DHL	WT	Mut	WT	WT	WT	WT	WT	13.818495	12.78527	NA	NA	NA
U937	120	U	Metastasis	AML	noWGS	male	ACH-000406	CellLine	NotAvailable	NotAvailable	NA	NotAvailable	WT	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	9.616772	10.743844	NA	NA	NA
CI1	121	U	Metastasis	BNHL	noWGS	female	ACH-000687	CellLine	NotAvailable	NotAvailable	NA	NotAvailable	WT	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	14.389331	11.417482	NA	NA	NA
