chr4	40195879	40201156	loci959	chr4	40191053	40246967	RHOH	55914
chr6	14117182	14119271	loci1140	chr6	14117256	14136918	CD83	19662
chr6	31580404	31583032	loci1154	chr6	31580525	31582522	LTB	1997
chr6	37153059	37155276	loci1156	chr6	37170152	37175428	PIM1	5276
chr6	37169518	37172595	loci1157	chr6	37170152	37175428	PIM1	5276
chr6	90292485	90299260	loci1187	chr6	89926528	90296843	BACH2	370315
chr6	134173153	134176166	loci1205	chr6	134169248	134318112	SGK1	148864
chr7	40808315	40813173	loci1250	chr7	40135005	40860763	SUGCT	725758
chr7	111038236	111041956	loci1289	chr7	110662644	111562517	IMMP2L	899873
chr7	111098453	111102962	loci1299	chr7	110662644	111562517	IMMP2L	899873
chr7	111113382	111116059	loci1301	chr7	110662644	111562517	IMMP2L	899873
chr7	111124136	111126271	loci1302	chr7	110662644	111562517	IMMP2L	899873
chr7	111140056	111142376	loci1304	chr7	110662644	111562517	IMMP2L	899873
chr7	111143911	111147053	loci1305	chr7	110662644	111562517	IMMP2L	899873
chr8	11492905	11497299	loci1355	chr8	11486894	11564599	BLK	77705
chr8	66611182	66613513	loci1381	chr8	66562175	66614247	MYBL1	52072
chr8	127735466	127741384	loci1410	chr8	127735434	127742951	MYC	7517
chr9	6412694	6415454	loci1421	chr9	6413151	6507054	UHRF2	93903
chr9	37023478	37027888	loci1437	chr9	36833269	37034268	PAX5	200999
chr9	37335936	37337977	loci1439	chr9	37120574	37358149	ZCCHC7	237575
chr9	37368502	37371606	loci1440	chr9	37120574	37358149	ZCCHC7	237575
chr9	93278861	93281878	loci1452	chr9	93184122	93320572	WNK2	136450
chr9	110047731	110050533	loci1460	chr9	109498325	110172512	PALM2AKAP2	674187
chr9	127977808	127981228	loci1471	chr9	127940582	127980989	FAM102A	40407
